libdc1394 error: Failed to initialize libdc1394
Training net...

Iteration     0: accuracy_at_1 =  0.78%; accuracy_at_5 =  5.86%; loss = 4.605170 
Iteration    10: accuracy_at_1 =  0.00%; accuracy_at_5 =  3.91%; loss = 4.635230  (0.402065 s/it)
Iteration    20: accuracy_at_1 =  0.39%; accuracy_at_5 =  3.91%; loss = 4.592960  (0.413317 s/it)
Iteration    30: accuracy_at_1 =  1.56%; accuracy_at_5 =  7.42%; loss = 4.609703  (0.412708 s/it)
Iteration    40: accuracy_at_1 =  2.34%; accuracy_at_5 =  8.20%; loss = 4.543041  (0.412649 s/it)
Iteration    50: accuracy_at_1 =  1.56%; accuracy_at_5 =  6.25%; loss = 4.528524  (0.412109 s/it)
Iteration    60: accuracy_at_1 =  1.95%; accuracy_at_5 =  9.38%; loss = 4.514814  (0.413340 s/it)
Iteration    70: accuracy_at_1 =  2.73%; accuracy_at_5 = 10.16%; loss = 4.485055  (0.413557 s/it)
Iteration    80: accuracy_at_1 =  2.73%; accuracy_at_5 =  9.77%; loss = 4.505551  (0.412123 s/it)
Iteration    90: accuracy_at_1 =  1.95%; accuracy_at_5 = 10.16%; loss = 4.476565  (0.411831 s/it)
Iteration   100: accuracy_at_1 =  1.56%; accuracy_at_5 = 12.50%; loss = 4.463166  (0.412419 s/it)
Iteration   110: accuracy_at_1 =  2.73%; accuracy_at_5 = 13.67%; loss = 4.397835  (0.412308 s/it)
Iteration   120: accuracy_at_1 =  1.95%; accuracy_at_5 = 14.84%; loss = 4.428457  (0.412124 s/it)
Iteration   130: accuracy_at_1 =  1.95%; accuracy_at_5 = 10.94%; loss = 4.439191  (0.412910 s/it)
Iteration   140: accuracy_at_1 =  4.30%; accuracy_at_5 = 12.11%; loss = 4.413180  (0.413463 s/it)
Iteration   150: accuracy_at_1 =  3.52%; accuracy_at_5 = 10.94%; loss = 4.421318  (0.413139 s/it)
Iteration   160: accuracy_at_1 =  1.95%; accuracy_at_5 = 13.67%; loss = 4.369111  (0.413665 s/it)
Iteration   170: accuracy_at_1 =  4.69%; accuracy_at_5 = 13.28%; loss = 4.438658  (0.413328 s/it)
Iteration   180: accuracy_at_1 =  3.52%; accuracy_at_5 = 13.28%; loss = 4.383913  (0.412912 s/it)
Iteration   190: accuracy_at_1 =  3.52%; accuracy_at_5 = 13.28%; loss = 4.363492  (0.413384 s/it)
Iteration   200: accuracy_at_1 =  3.91%; accuracy_at_5 = 15.23%; loss = 4.371550  (0.411704 s/it)
Iteration   210: accuracy_at_1 =  3.91%; accuracy_at_5 = 16.41%; loss = 4.318312  (0.412040 s/it)
Iteration   220: accuracy_at_1 =  3.91%; accuracy_at_5 = 12.50%; loss = 4.399438  (0.412147 s/it)
Iteration   230: accuracy_at_1 =  1.95%; accuracy_at_5 = 10.16%; loss = 4.399958  (0.411950 s/it)
